name,country,sports,age,gender,philosophy,ambition,hero,philosophy_lemma,ambition_lemma,hero_list
ABOHEGAZY Salma,Egypt, Taekwondo,18,Female,none,none,none,['none'],['none'],['none']
ABOUELKHIR Metawa,Egypt, Sitting Volleyball,44,Male,none,To win gold at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'win', 'gold', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ABRAHAM de DEUS Michel Gustavo,Brazil, Athletics,23,Male,"When competing I think about my family, I think about how hard I worked to get there. I think of everyone who helped me. How hard I tried, how hard others tried to help me.",To win a medal at the 2020 Paralympic Games in Tokyo.,none,"['when', 'compete', '-PRON-', 'think', 'about', '-PRON-', 'family', ',', '-PRON-', 'think', 'about', 'how', 'hard', '-PRON-', 'work', 'to', 'get', 'there', '.', '-PRON-', 'think', 'of', 'everyone', 'who', 'help', '-PRON-', '.', 'how', 'hard', '-PRON-', 'try', ',', 'how', 'hard', 'other', 'try', 'to', 'help', '-PRON-', '.']","['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ABRAHAM GEBRU Daniel,Netherlands, Cycling Road,36,Male,none,To win two gold medals - one in track cycling and one in road cycling - at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'win', 'two', 'gold', 'medal', '-', 'one', 'in', 'track', 'cycling', 'and', 'one', 'in', 'road', 'cycling', '-', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ABRAHAM GEBRU Daniel,Netherlands, Cycling Track,36,Male,none,To win two gold medals - one in track cycling and one in road cycling - at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'win', 'two', 'gold', 'medal', '-', 'one', 'in', 'track', 'cycling', 'and', 'one', 'in', 'road', 'cycling', '-', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ABRAHAMS David Henry,United States of America, Swimming,20,Male,"I really want to make an impact not only on the times I'm putting forward, but I want to show people that are in my situation that you don't have to sacrifice your goals and your dreams just because of the position you're in. I'm hoping that's what my legacy could be.",To compete in more than one event at the 2020 Paralympic Games in Tokyo.,none,"['-PRON-', 'really', 'want', 'to', 'make', 'an', 'impact', 'not', 'only', 'on', 'the', 'time', '-PRON-', 'be', 'put', 'forward', ',', 'but', '-PRON-', 'want', 'to', 'show', 'people', 'that', 'be', 'in', '-PRON-', 'situation', 'that', '-PRON-', 'do', 'not', 'have', 'to', 'sacrifice', '-PRON-', 'goal', 'and', '-PRON-', 'dream', 'just', 'because', 'of', 'the', 'position', '-PRON-', 'be', 'in', '.', '-PRON-', 'be', 'hope', 'that', 'be', 'what', '-PRON-', 'legacy', 'could', 'be', '.']","['to', 'compete', 'in', 'more', 'than', 'one', 'event', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ABSHIR OMAR Mahdi,Somalia, Athletics,32,Male,"I encourage every person with an impairment to believe in themselves, that they can achieve anything they want. Don't give up.",none,none,"['-PRON-', 'encourage', 'every', 'person', 'with', 'an', 'impairment', 'to', 'believe', 'in', '-PRON-', ',', 'that', '-PRON-', 'can', 'achieve', 'anything', '-PRON-', 'want', '.', 'do', 'not', 'give', 'up', '.']",['none'],['none']
ABU AWAD Khetam,Jordan, Table Tennis,46,Female,none,none,none,['none'],['none'],['none']
ABUD CORONADO Jose Manuel,Dominican Republic, Powerlifting,46,Male,You can do it.,To compete at the 2020 Paralympic Games in Tokyo.,Italian Moto GP rider Valentino Rossi.,"['-PRON-', 'can', 'do', '-PRON-', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Italian Moto GP rider Valentino Rossi']
ABUZARLI Abulfaz,Azerbaijan, Taekwondo,30,Male,none,To win a medal at the 2020 Paralympic Games in Tokyo.,"Jordanian taekwondo athlete Ahmad Abughaush, Korean taekwondo athlete Lee Dae-Hoon, Azerbaijani taekwondo athletes Niyamaddin Pashayev and Milad Beigi.",['none'],"['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['Jordanian taekwondo athlete Ahmad Abughaush', 'Korean taekwondo athlete Lee Dae-Hoon', 'Azerbaijani taekwondo athletes Niyamaddin Pashayev and Milad Beigi']"
ACAR Deniz,Turkey, Wheelchair Basketball,45,Male,none,none,none,['none'],['none'],['none']
ACCARDI Federico,Argentina, Football 5-a-side,32,Male,Live football like life.,none,Argentinian footballer Lionel Messi.,"['live', 'football', 'like', 'life', '.']",['none'],['Argentinian footballer Lionel Messi']
